source_variable,description,importance,rank,selected
var_20,Academic performance up to the second semester,0.11571656079369567,1,True
var_2,Year and semester of enrollment,0.09858762642357516,2,True
var_1,Campus and shift,0.0604757256928163,3,True
var_18,Family monthly income at enrollment,0.05911228303091306,4,True
var_31,Father's education level,0.05535417267363823,5,True
var_30,Mother's education level,0.055341339835850344,6,True
var_19,Received a scholarship during the programme,0.04672080011801638,7,True
var_11,Relocation to the campus city,0.03928517783699689,8,True
var_28,Perception of professional remuneration,0.0325331927570232,9,True
var_4,First-course choice,0.03142178865140996,10,True
var_14,Race,0.030005945974824408,11,True
var_23,Adequacy of the prerequisite chain,0.0295230346325393,12,True
var_10,City and state of residence before enrollment,0.028674090892620553,13,True
var_27,Social recognition of the related careers,0.0275224847075538,14,True
var_29,Parents married during the programme,0.026785707112357157,15,True
var_9,Type of public elementary school,0.024189553227706082,16,False
var_15,Marital status,0.02407825431826103,17,False
var_5,Prior knowledge of the field,0.023882316611218573,18,False
var_21,Institutional support during the programme,0.02090843610412449,19,False
var_13,Gender,0.02031227904385275,20,False
var_26,Pedagogical problems or lack of lecturer engagement,0.020028413649949714,21,False
var_17,Employed during the programme,0.017948059151052433,22,False
var_22,Adequacy of the curriculum,0.017645362109654686,23,False
var_8,Type of elementary school,0.017608159922797087,24,False
var_24,Adequacy of the assessment criteria,0.017125490666636517,25,False
var_6,Type of secondary school,0.016022872912706092,26,False
var_25,Adequacy of the infrastructure,0.015389708574578501,27,False
var_16,Has children,0.011788735172719673,28,False
var_7,Type of public secondary school,0.009070561220415708,29,False
var_12,Lived in the student village,0.006941866180496096,30,False
